Name,Comment,Time,Likes,Reply Count
edureka!,Hi great to hear from you :) please share your mail id ! so that we can share the data sheet with you :)Do subscribe the channel for more updates : ),2022-02-16T20:02:12Z,1,
Nenad Jevtic,Excellent course! Is there a link to the python code from the demo examples?,2022-02-11T14:12:10Z,0,1
edureka!,Glad to hear our contents are helping you ! Please provide your mail id to share the data sheet :) We’ll update you soon,2022-02-11T16:43:36Z,0,
Magic in hand,just wowwww i am master student of science but it made things clear and i am really grateful to u,2022-02-09T14:06:08Z,0,1
edureka!,You're welcome 😊 Stay connected with our channel and team :) . Do subscribe the channel for more updates : ) Hit the bell icon to never miss an update from our channel : ),2022-02-09T17:03:52Z,0,
Jonathan Eban,great video well explained. The masters program talked about at the end of this video still going on?,2022-02-09T11:18:29Z,0,1
edureka!,"Hi Jonathan :)
Glad to know our video are helping you understand the concept very much . We do have master program in machine learning now .
Do check the link for more update on the course :https://bit.ly/2WbPMn6",2022-02-09T12:28:26Z,0,
Janith Induwara,Great content you had just prepared. Because it made me feel live about what I am gonna learn and built a curiosity within me! Thank you very much! Looking forward for you to create more content like this ~,2022-02-08T09:06:22Z,0,1
edureka!,You're welcome 😊 Stay connected with our channel and team :) . Do subscribe the channel for more updates : ) Hit the bell icon to never miss an update from our channel : ),2022-02-09T17:56:46Z,0,
Vivek Pawar,can we use reinforcement learning in regression problems?,2022-02-06T17:33:28Z,1,0
tesss_tequila💙,The fact that am learning this for free is actually amazing,2022-02-04T10:05:10Z,1,1
edureka!,Good To know our videos are helping you learn better  :) Stay connected with us and keep learning ! Do subscribe the channel for more updates : ),2022-02-04T18:06:48Z,0,
Jack nickels,🔥🔥🔥,2022-01-31T14:34:43Z,1,0
chim minkook,Could  you pls give me the calculating  steps of weighted avg and calculating IG of child node (road type)?,2022-01-29T10:25:08Z,1,0
thalaivan,"Oh my god u guys are making contents
Free for moneyless people  u r making their dream to come true... Hats off to you guys...",2022-01-27T17:11:02Z,0,1
edureka!,Hey:) Thank you so much for your sweet words :) Really means a lot ! Glad to know that our content/courses is making you learn better :) Our team is striving hard to give the best content. Keep learning with us -Team Edureka :) Don't forget to like the video and share it with maximum people:) Do subscribe the channel:),2022-01-27T19:02:31Z,0,
Solva,"This is a good video indeed.
Am particularly impressed by the animation part.
I wish I could know how to make illustrative videos like such.",2022-01-27T11:12:26Z,0,1
edureka!,Good To know our videos are helping you learn better  :) Stay connected with us and keep learning ! Do subscribe the channel for more updates : ),2022-01-27T15:56:27Z,0,
Ashvin Goorappa,The best online course on AI for beginners,2022-01-26T18:44:52Z,0,1
edureka!,You're welcome 😊 Stay connected with our channel and team :) . Do subscribe the channel for more updates : ) Hit the bell icon to never miss an update from our channel : ),2022-01-27T16:42:35Z,0,
Nick Hao,"Can you share the slides, Python codes and CSV files Via Email? Thanks. and how can I send you my email, I can not text my email here, because youtube will delete the comment with email",2022-01-24T10:50:32Z,0,2
Nick Hao,"I sent, did you get me? I think youtube always delete my email, how can I send to you1?Thanks",2022-01-25T10:54:47Z,0,
edureka!,ood to know our contents and videos are helping you learn better . We are glad to have you with us ! Please share your mail id to send the data sheets to help you learn better :) Do subscribe the channel for more updates : ) Hit the bell icon to never miss an update from our channel : ),2022-01-24T17:34:09Z,0,
Mohamad Alansari,"Can you share the slides, Python codes and CSV files Via Email?",2022-01-20T09:43:01Z,0,1
edureka!,Glad to hear our contents are helping you ! Please provide your mail id to share the data sheet :) We’ll update you soon,2022-01-20T17:23:00Z,1,
Pooja Ajithan,Can you please share the notes and python codes? IDK my previous comment was deleted,2022-01-19T06:52:50Z,1,1
edureka!,Good to know your learning with edureka :)  please share your mail id to share the data sheet! We'll Update you soon !,2022-01-19T18:16:19Z,0,
Electronics with Madhan,"Sir I have one doubt, since unsupervised learning uses patterns to group the input data, that means whether they uses image recognition process? If yes means then it will become a slow process because we are using lot of images, then how it will be possible?",2022-01-17T15:23:39Z,1,0
Cheikh DIOUF,good job,2022-01-11T15:27:26Z,2,0
Kushal,"can I get that python codes ,so I can run in my system and understand it more clearly",2022-01-09T14:04:40Z,0,1
edureka!,Hi great to hear from you :) please share your mail id ! so that we can share the data sheet with you :)Do subscribe the channel for more updates : ),2022-01-09T16:04:28Z,0,
Rukshana Khatoon,Thank you soo much for such an informative video.. I loved it.. Thank you to whole team. ❤,2022-01-02T11:10:06Z,2,1
edureka!,Good To know our vedios are helping you learn better  :) Stay connected with us and keep learning ! Do subscribe the channel for more updates : ),2022-01-02T17:35:27Z,1,
rahil ahmed,Keep it up edureka!,2021-12-23T18:20:05Z,1,1
edureka!,Thank you for your review : ) We are glad that you found our videos /contents useful . We are also trying our best to further fulfill your requirements and enhance your expirence :) Do subscribe the channel for more updates : ) Hit the bell icon to never miss an update from our channel : ),2021-12-24T05:37:15Z,1,
peaches,Pdf of this lecture????,2021-12-21T11:00:02Z,0,1
edureka!,"Hey there :) We are glad to have you with us :) and more glad to have learners like you with us ! We are happy to share the source code ,please do drop your mail id to share the same :) Thank You for being a part of our  Edureka  team : ) Do subscribe the channel for more updates : ) Hit the bell icon to never miss an update from our channel : )",2021-12-23T12:28:05Z,0,
Soumya Chourasia,superb,2021-12-20T04:43:50Z,0,0
Righteous Ness,Excellent teaching. This was my first time learning AI and was relatively easy to understand the main concepts.,2021-12-20T04:16:10Z,2,1
edureka!,Hey:) Thank you so much for your sweet words :) Really means a lot  ! Glad to know that our content/courses is making you learn better :) Our team is striving hard to give the best content. Keep learning with us -Team Edureka :) Don't forget to like the video and share it with maximum people:) Do subscribe the channel:),2021-12-23T13:16:42Z,2,
Ayshath Thasmiya,Do edureka have an advanced course on ai in YouTube?,2021-12-19T19:38:47Z,0,1
edureka!,"Hi :) We do offer a advance courses on AI .Do check the link shared with you for more information . https://www.edureka.co/artificial-intelligence-certification-courses 
Hope this helps :)",2021-12-23T13:11:58Z,1,
Ritik Mangal(IIIT KOTA),Can you provide  pdf of these slides,2021-12-13T14:55:39Z,0,1
edureka!,Hey there :)Thank you so much : ) We are glad to be a part of your learning journey. Definitely ! We are glad to have learners like you .Drop your mail id in the comment section for us to share the data sheets or source codes :) Do subscribe our channel and hit that bell icon to never miss an video from our channel .,2021-12-14T10:29:26Z,0,
Mark,Thanks for the video!,2021-12-13T10:05:32Z,0,0
Ankita's Tech Tutorials,Perfect,2021-12-10T04:02:40Z,1,0
Minhaz Uddin,I like the greeting; Zuleka from Edureka.,2021-12-02T22:09:16Z,1,0
Edwin van Tricht,"Not a programmer myself, but learned a lot! If I could receive the presentation and code that would be great!",2021-11-22T18:34:13Z,0,1
edureka!,Good to know our contents and videos are helping you learn better . We are glad to have you with us ! Please share your mail id to send the data sheets to help you learn better :) Do subscribe the channel for more updates : ) Hit the bell icon to never miss an update from our channel : ),2021-11-23T10:21:18Z,0,
I m Sangamesh,Thanks so much ma'am it was very good and most informational video ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,2021-11-18T13:35:25Z,0,1
edureka!,Thank you for your review : ) We are glad that you found our videos /contents useful . We are also trying our best to further fulfill your requirements and enhance your expirence :) Do subscribe the channel for more updates : ) Hit the bell icon to never miss an update from our channel : ),2021-11-19T13:36:20Z,1,
wenyang Yao,could i get the codes in python in the lecture?,2021-11-11T13:52:15Z,0,1
edureka!,Good to know our contents and videos are helping you learn better . We are glad to have you with us ! Please share your mail id to send the data sheets to help you learn better :) Do subscribe the channel for more updates : ) Hit the bell icon to never miss an update from our channel : ),2021-11-18T12:42:27Z,0,
Nilesh Panchal,It was really good Tutorial. Explained in a very nice and simple way. Thanks a lot..,2021-11-11T11:38:31Z,1,1
edureka!,Good To know our videos are helping you learn better  :) Stay connected with us and keep learning ! Do subscribe the channel for more updates : ),2022-01-09T17:29:53Z,0,
Amitanandan ojha,hi i have a question that while u are giving demo which software did u use is it vs code?🤔,2021-11-07T08:43:25Z,0,0
Sakthivel,Madam full artificial course are complete this video,2021-10-31T17:46:59Z,0,0
Abaan Ahmed,Best AI course ever!!!!!!,2021-10-28T16:56:47Z,0,1
edureka!,"Thank you so much for the review ,we appreciate your efforts : )  We are glad that you have enjoyed your learning experience with us .Thank You for being a part of our  Edureka  team : ) Do subscribe the channel for more updates : ) Hit the bell icon to never miss an update from our channel : )",2021-10-29T05:45:55Z,0,
Anmol Basaiwal,"3:26:35, ""this is 1 coma 4 and this is 1 coma 5"". the -1 between them is 1 coma 4.5",2021-10-28T09:13:52Z,2,0
Abu Talib,Very good content indeed!!,2021-10-21T09:10:06Z,0,1
edureka!,Thank you for your review : ) We are glad that you found our videos /contents useful . We are also trying our best to further fulfill your requirements and enhance your expirence :) Do subscribe the channel for more updates : ) Hit the bell icon to never miss an update from our channel : ),2021-10-21T10:33:05Z,0,
Amit Singh,Please provide us PDF link so that we can revise it.,2021-10-20T04:08:49Z,0,1
edureka!,We are happy that Edureka is helping you learn better ! We are happy to have learners like you :) Please share your mail id to share the data sheets :) Do subscribe the channel for more updates : ) Hit the bell icon to never miss an update from our channel : ),2021-10-20T06:42:18Z,1,
Amit Singh,Thank you so much for providing this course. ♥️ I want to download the pdf so that I can revise it by myself whenever i want. Please provide.me link of this pdf so that I can download.it.,2021-10-20T04:03:15Z,0,1
edureka!,Hey there :)Thank you so much : ) We are glad to be a part of your learning journey. Definitely ! We are glad to have learners like you .Drop your mail id in the comment section for us to share the data sheets or source codes :) Do subscribe our channel and hit that bell icon to never miss an video from our channel .,2021-10-20T10:15:06Z,1,
siva,*Nice presentation🙏🙏*,2021-10-17T02:27:31Z,0,2
siva,@edureka! how can I take a course in edureka,2021-10-18T11:38:15Z,0,
edureka!,Thank you for your review : ) We are glad that you found our videos /contents useful . We are also trying our best to further fulfill your requirements and enhance your expirence :) Do subscribe the channel for more updates : ) Hit the bell icon to never miss an update from our channel : ),2021-10-18T11:28:45Z,0,
GAMING VIBES,Please provide us PDF,2021-10-16T05:53:20Z,1,1
edureka!,"Hey there :) We are glad to have you with us :) and more glad to have learners like you with us ! We are happy to share the source code ,please do drop your mail id to share the same :) Thank You for being a part of our  Edureka  team : ) Do subscribe the channel for more updates : ) Hit the bell icon to never miss an update from our channel : )",2021-10-18T13:00:53Z,0,
Krishna Kumar,Hi..pls share course cost details of AI,2021-10-15T11:46:27Z,0,1
edureka!,"Hey Krishna:) We have many courses on artificial intelligence :) 
Do visit our website : www.edureka.co 
Hope this helps:)",2021-10-19T10:13:53Z,0,
Amit Rao,"appreciate the content, the only suggestion if you can explain the notation and terms in the beginning of the video so can be understood at the right place. Thanks for valuable videos.",2021-10-14T06:02:19Z,0,1
edureka!,Hey:) Thank you so much for your sweet words :) Really means a lot  ! Glad to know that our content/courses is making you learn better :) Our team is striving hard to give the best content.We'll consider your insightful review and work on it :)  Keep learning with us -Team Edureka :) Don't forget to like the video and share it with maximum people:) Do subscribe the channel:),2021-10-14T12:39:21Z,0,
Mohammad Anis,"Thanks to the power dear authority. You are doing a philanthropic work. These courses are huge paid. But you are providing with great presentation. Though I am a student of class 9, I love to watch. May Allah endow you all with great success . also pray for my bright future",2021-10-06T07:50:59Z,0,1
edureka!,We are glad to be a part of your journey in this field ! Great to hear that our contents are making an better impact on your learning journey :) Thank You for being a part of our  Edureka  team : ) .Stay connected with our channel and team :) Don't forget to like the video and share it with maximum people:) Do subscribe the channel:),2021-10-06T08:06:19Z,1,
Nikhill Umesh,can anyone learn AI without python ?,2021-10-05T13:20:34Z,0,0
anonymous,"I want to thank specially to mam , ur clarity of speaking , teaching is the best 👍💯 , ur presentation was great and thanks to edureka team to give such video or guidance for free on ai or machine learning.",2021-09-28T17:49:43Z,4,1
edureka!,Great to see that our videos and contents are making you perform better and understand better :) We are glad that you've enjoyed your learning experience with us .Thank you for being a part of Edureka's team:) Do subscribe the channel for more updates : ) Hit the bell icon to never miss an update from our channel : ),2021-09-29T05:21:41Z,1,
Nitin,m likings all the CMT,2021-09-15T20:48:29Z,1,0
Ritu Srivastava,Great efforts! Totally worth it having this tutorial as a beginner.,2021-09-14T10:10:57Z,4,1
edureka!,Hi : ) We really are glad to hear this ! Truly feels good that our team is delivering and making your learning easier :) Keep learning with us .Stay connected with our channel and team :) . Do subscribe the channel for more updates : ) Hit the bell icon to never miss an update from our channel : ),2021-09-28T05:39:58Z,3,
Simran,You explain each and every topic in well manner way through animation. It is very interesting and fun to learn. Can you please provide the summary or details explanation of all the topics shown in video through a website or link . Which can be beneficial for us to future reference or revision.,2021-09-07T16:02:30Z,11,0
Sahil Choudhary,This is so far the most easy & basic way to learn AI. You did woke up my interest in AI.,2021-09-06T09:21:15Z,1,1
edureka!,"Thank you so much for the review ,we appreciate your efforts : )  We are glad that you have enjoyed your learning experience with us .Thank You for being a part of our  Edureka  team : ) Do subscribe the channel for more updates : ) Hit the bell icon to never miss an update from our channel : )",2021-09-06T09:34:22Z,0,
Keerthi N,"Fantastic channel than any other one.... trust me u can learn every small thing clearly in every video.... I'm soooo happy 😀🤟 thanks a lot edureka.... Keep going
 wonderful job❤️",2021-08-23T15:46:05Z,1,1
edureka!,Hey:) Thank you so much for your sweet words :) Really means a lot  ! Glad to know that our content/courses is making you learn better :) Our team is striving hard to give the best content. Keep learning with us -Team Edureka :) Don't forget to like the video and share it with maximum people:) Do subscribe the channel:),2021-08-26T04:47:16Z,1,
injoy inmyself,"Great video 👍👁💚🤲
Using A.I for netflix and youtube recommendations, creates a feedback loop, which releases endorphins, this is the design for a user input digital drug.👁",2021-08-21T14:36:45Z,1,0
Kangan Agarwal,This video is good even for learning machine learning 👍,2021-08-10T22:06:56Z,0,1
edureka!,Thank you for your review : ) We are glad that you found our videos /contents useful . We are also trying our best to further fullqfill your requirements and enhance your expirence :) Do subscribe the channel for more updates : ) Hit the bell icon to never miss an update from our channel : ),2021-08-12T08:34:09Z,0,
Ali Mobedi,Finally finished it! It was great. But definitely took me more than 4.75 hours 😂✌️ thank you!,2021-08-09T02:48:50Z,9,0
Halima Ghannoum,hey can you please share the ppt with us,2021-08-03T20:58:24Z,0,1
edureka!,We are happy that Edureka is helping you learn better ! We are happy to have learners like you :) Please share your mail id to share the data sheets :) Do subscribe the channel for more updates : ) Hit the bell icon to never miss an update from our channel : ),2021-08-06T11:27:06Z,0,
Halima Ghannoum,Best AI video ever!!Thank you so much,2021-08-02T17:53:43Z,0,1
edureka!,Thank you so much : ) We are glad to be  a part of your  learning  journey. Do subscribe the channel for more updates : ) Hit the bell icon to never miss an update from our channel : ),2021-08-03T10:24:35Z,0,
Misbah Kanwal BCS-19-248,"Can you please provide me the Slides of the AI, that you have been discussed in this video. It's really helpful for me but I have spent a lot of time making notes of slides. So kindly provide the notes if possible.",2021-08-02T12:41:20Z,0,1
edureka!,"Hey there :) We are glad to have you with us :) and more glad to have learners like you with us ! We are happy to share the source code ,please do drop your mail id to share the same :) Thank You for being a part of our  Edureka  team : ) Do subscribe the channel for more updates : ) Hit the bell icon to never miss an update from our channel : )",2021-08-03T10:56:05Z,0,
Ashwini palkar,Very good course👍🙂,2021-07-28T08:41:52Z,0,1
edureka!,Thank you so  much  for your review on our channel  Great to hear that Edureka is helping you learn better . We’ll strive to make even better learning contents/courses  in the future ! Do subscribe the channel for more updates  : ),2021-07-28T12:12:14Z,0,
Kankan jyoti Nath,This channel really depicts how education is basically for free.You just need the heart to learn it.,2021-07-06T13:09:56Z,2,1
edureka!,Hey:) Thank you so much for your sweet words :) Really means a lot  ! Glad to know that our content/courses is making you learn better :) Our team is striving hard to give the best content. Keep learning with us -Team Edureka :) Don't forget to like the video and share it with maximum people:) Do subscribe the channel:),2021-07-09T10:36:01Z,1,
universal_motive,Best teachings ever..... i have come across many videos regarding AI  but this is the best ... thank u so much  edureka...,2021-06-29T13:56:40Z,0,1
edureka!,We are super happy that Edureka is helping you learn better. Your support means a lot to us and it motivated us to create even better learning content and courses experience for you . Do subscribe the channel for more updates : ) Hit the bell icon to never miss an update from our channel : ),2021-06-30T06:19:54Z,1,
Muhammad Afif Hidayat,How can I find the datasets?,2021-06-24T01:48:31Z,0,1
edureka!,Hey there :)Thank you so much : ) We are glad to be a part of your learning journey. Definitely ! We are glad to have learners like you .Drop your mail id in the comment section for us to share the data sheets or source codes :) Do subscribe our channel and hit that bell icon to never miss an video from our channel,2021-06-24T05:02:21Z,0,
Sadia Farzana,best 5 hrs i spend on this topic the teacher is amazing,2021-06-24T01:35:10Z,0,1
edureka!,Thank you so much  for your review on our channel  Great to hear that Edureka is helping you learn better . We’ll strive to make even better learning contents/courses  in the future ! Do subscribe the channel for more updates : ),2021-06-25T12:16:04Z,0,
SIVARAMAKRISHNAN M 19EE022,"Can anyone tell me where to get the dataset  please...
if you have kindly sent to arunaakash39@gmail.com",2021-06-17T00:47:44Z,1,0
Ramya Tanuja,Can you provide code for this session,2021-06-11T06:03:34Z,0,1
edureka!,Please share your mail id for to send you the files :) Stay connected with us through youtube channel by subscribing the channel :) Cheers !,2021-06-11T11:53:32Z,0,
Nishant Singh,Lecture is amazing with wonderful animations can you please provide notes,2021-06-08T09:44:04Z,1,1
edureka!,Glad you liked it  ! We are glad to have learners like you Glad you liked it  ! We are glad to have learners like you .Drop your mail id in the comment section for us to share the data sheets or source codes :) Do subscribe our channel and hit that bell icon to never miss an video from our channel .,2021-06-08T10:24:49Z,0,
Aayu,Super amazing video thankyou mam u explained it very well.,2021-05-28T04:44:15Z,0,1
edureka!,Happy to hear that!We are glad to have learners like you . Do subscribe our channel and hit that bell icon to never miss an video from our channel .,2021-05-28T05:58:21Z,0,
Boy,Provide a PDF of video in the description it will be helpful for revision,2021-05-28T03:25:16Z,0,1
edureka!,Hi there !Glad you liked it  ! We are glad to have learners like you .Drop your mail id in the comment section for us to share the data sheets or source codes :) Do subscribe our channel and hit that bell icon to never miss an video from our channel .,2021-05-28T04:52:07Z,0,
AJITH PALATHINKAL,"Excellent, excellent, excellent.....",2021-05-27T04:08:16Z,0,1
edureka!,Many thanks!Glad you liked it  ! We are glad to have learners like you . Do subscribe our channel and hit that bell icon to never miss an video from our channel .,2021-05-27T04:37:51Z,1,
Christen Spremulli,wow im amazed,2021-05-25T04:41:20Z,0,1
edureka!,Thank you for the compliment !Glad our channel is helping you .  Do subscribe our channel and hit that bell icon to never miss an video from our channel .,2021-05-25T05:02:16Z,0,
TK-techy,thanks the way u all explained made this feild an interesting and made an eagerness to learn more. i am wqaiting for next content too.,2021-05-21T06:44:42Z,1,1
edureka!,Thank you for the compliment !Glad our channel is helping you .  Do subscribe our channel and hit that bell icon to never miss an video from our channel :) Keep watching,2021-05-21T08:01:20Z,0,
Akula Kranthi,narration is too good easy to understand,2021-05-15T11:40:39Z,1,0
Ajay Deo,Could you please share the all python code related to ML.,2021-03-11T09:52:54Z,0,1
edureka!,"Hi Ajay, kindly drop in your email id to help us assist you with the required source codes. Cheers :)",2021-03-11T14:47:05Z,1,
Jasleen kaur,Thanku for explaining the artificial intelligence full course with depth and in an easy way... Tomorrow is my AI finals for class 9..This is just Superb to learn from this and i did have cleared all my doubts from this video.. Once again thanku❤,2021-03-09T12:30:03Z,5,0
Minna Rizig,This one of the best tutorials thank you so much for your incredible efforts,2021-03-09T10:47:35Z,4,0
MD ZIAUR RAHMAN,i cant believe i am learning it for free .,2021-03-09T10:05:28Z,1,0
Jon Santos,AI Course (uses PyCharm),2021-03-09T05:32:55Z,0,0
Pari Kumari,😮👍🏻👌🏼🙂,2021-03-06T16:04:52Z,0,0
Girish Chandnani,This video is so well done. I cant say enough about the instructor's depth and approach to the topic. Good job team Edureka!,2021-03-04T18:56:53Z,20,0
Robyn Verma,Thnks endureka,2021-03-02T03:19:54Z,1,0
Robyn Verma,Sir what is difference between this 5hours course and the  the other course with videos,2021-03-02T03:19:08Z,0,1
edureka!,"Hi Robyn, this Artificial Intelligence Full Course tutorial provides a complete and structured understanding of the certification course we offer. On the brightside, do check out our certification courses : https://bit.ly/3mi9kOU and also avail exclusive discounts using the code ""YOUTUBE20"". Cheers :)",2021-03-02T07:59:08Z,1,
Gurudath Gaddad,I just started listening today. You have explained the concept very elegantly. Thank you. Truly inspiring.,2021-03-02T02:16:14Z,5,0
Chitransh gaur,Will it be helpful for btech 1st year,2021-02-26T14:51:40Z,0,1
edureka!,"Hi Chitransh, yes. the following Artificial Intelligence tutorial will definitely be helpful to provide structured insights. Happy learning :)",2021-02-26T15:16:57Z,0,
Palash Prosenjit Malakar,Thank you julekha for sharing this type of high quality tutorials.,2021-02-26T06:20:05Z,2,0
Purple~Rain,Very well explained...the best I've heard so far!,2021-02-26T03:23:14Z,1,0
KAMESH YUVRAJ,the way instructor says is ultimate and great teaching with perfect clear cut voice  thanks a lottttt madam,2021-02-21T18:26:11Z,1,0
DIVYA YADAV,Thanks a lot. Please provide PDF of this.,2021-02-21T02:14:18Z,1,1
edureka!,"Hi Divya, we are glad to help you learn better. However, we do not provide any PDF files from the tutorial. But, you can follow the link: http://bit.ly/3sgaaOG to our reference presentation. Happy learning :)",2021-02-22T09:22:11Z,0,
Nagarjuna pillutla,Leka from edureka nice video,2021-02-17T07:18:41Z,0,0
Madhusudan Rao,Great content presentation!! And a great voice.,2021-02-15T11:46:50Z,4,0
Shailesh Jain,"Excellent video !!! Very well explained , just the right amount of details and information to digest the concepts. Excellent !!! job by the tutor.",2021-02-12T21:56:35Z,9,0
